question_text,option_a,option_b,option_c,option_d,correct_option,category
What is the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,Cytoplasm,B,Science
Which country has the most natural lakes?,Canada,Brazil,Russia,Australia,A,Geography
Who was the first person to step on the Moon?,Buzz Aldrin,Neil Armstrong,Yuri Gagarin,Michael Collins,B,History
Which band released the album The Dark Side of the Moon?,The Beatles,Queen,Led Zeppelin,Pink Floyd,D,Music
"In The Lord of the Rings, what is the name of Frodo’s sword?",Glamdring,Andúril,Sting,Orcrist,C,Movies
Which is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,D,Geography
In which year did World War II end?,1939,1942,1945,1948,C,History
Which movie features a character named Jack Dawson?,The Great Gatsby,Titanic,Inception,The Wolf of Wall Street,B,Entertainment
What is the fastest land animal?,Cheetah,Lion,Gazelle,Falcon,A,Animals
What is the most widely spoken language in the world?,English,Spanish,Hindi,Mandarin Chinese,D,General Knowledge
Which of these countries is not located in South America?,Ecuador,Colombia,Panama,Argentina,C,Geography
Who was the first President of the United States?,Abraham Lincoln,Thomas Jefferson,George Washington,John Adams,C,History
What gas do plants absorb during photosynthesis?,Oxygen,Carbon Dioxide,Hydrogen,Nitrogen,B,Science
"Which 1994 film features the quote, ""Life is like a box of chocolates""?",The Shawshank Redemption,Forrest Gump,Pulp Fiction,Braveheart,B,Movies
What is the largest species of shark?,Great White Shark,Whale Shark,Hammerhead Shark,Tiger Shark,B,Animals
Which of the following elements is a noble gas?,Oxygen,Nitrogen,Neon,Carbon,C,General Knowledge
What year was the first iPhone released?,2005,2007,2009,2011,B,Technology
"Which Italian dish is traditionally made with layers of pasta, meat, and cheese?",Risotto,Lasagna,Gnocchi,Spaghetti,B,Food & Drinks
Which planet in our solar system is known for its rings?,Saturn,Neptune,Jupiter,Uranus,A,General Knowledge
The Great Wall of China was primarily built to protect against which group?,Romans,Persians,Ottoman Empire,Mongols,D,History
What is the hardest naturally occurring mineral on Earth?,Ruby,Quartz,Diamond,Sapphire,C,Science
Who directed the movie Inception?,Steven Spielberg,James Cameron,Christopher Nolan,Quentin Tarantino,C,Movies
The Nile River primarily flows through which continent?,South America,Africa,Asia,Europe,B,Geography
What does the “G” stand for in “5G” mobile networks?,Generation,Gigabyte,Google,Graphene,A,Technology
How many Olympic rings are there in the official Olympic logo?,3,5,6,7,B,Sports
Which of these numbers is a prime number?,21,29,39,91,B,General Knowledge
What is the national currency of Japan?,Yen,Won,Baht,Peso,A,General Knowledge
In what year did the Berlin Wall fall?,1979,1985,1989,1991,C,History
What is the capital of Canada?,Vancouver,Toronto,Montreal,Ottawa,D,Geography
Which actor played Jack Sparrow in Pirates of the Caribbean?,Robert Downey Jr.,Brad Pitt,Johnny Depp,Leonardo DiCaprio,C,Movies
Which musical instrument has 88 keys?,Violin,Guitar,Piano,Saxophone,C,Music
What is the smallest country in the world by land area?,Monaco,Liechtenstein,San Marino,Vatican City,D,General Knowledge
Which type of alcohol is traditionally used in a margarita cocktail?,Rum,Vodka,Whiskey,Tequila,D,Food & Drinks
"Which philosopher is known for the phrase ""I think, therefore I am""?",Immanuel Kant,René Descartes,Socrates,Friedrich Nietzsche,B,General Knowledge
Mount Kilimanjaro is located in which African country?,Kenya,Ethiopia,Tanzania,South Africa,C,Geography
What type of blood cells help fight infections in the human body?,Red blood cells,White blood cells,Platelets,Plasma cells,B,Science
Which director is famous for movies like Pulp Fiction and Kill Bill?,Quentin Tarantino,Christopher Nolan,Martin Scorsese,Ridley Scott,A,Movies
Which iconic rock band did Freddie Mercury lead?,The Rolling Stones,Queen,The Beatles,Led Zeppelin,B,Music
The novel 1984 was written by which author?,Aldous Huxley,J.R.R. Tolkien,Franz Kafka,George Orwell,D,General Knowledge
Which company created the first-ever commercial video game console?,Sony,Nintendo,Atari,Magnavox,D,Technology
What type of pastry is traditionally used to make a croissant?,Puff pastry,Shortcrust pastry,Choux pastry,Filo pastry,A,Food & Drinks
The Hundred Years' War was fought between which two countries?,France and Germany,Spain and England,France and England,Portugal and Spain,C,History
What is the term for an organism that can survive without oxygen?,Aerobic,Anaerobic,Thermophilic,Endothermic,B,Science
"In The Matrix, what is the name of the pill that Neo takes to learn the truth?",Green pill,Red pill,Blue pill,Black pill,B,Movies
What is the name of the largest desert in the world?,Arabian Desert,Gobi Desert,Sahara Desert,Antarctic Desert,D,General Knowledge
What was the name of the first artificial satellite to orbit Earth?,Apollo 11,Sputnik 1,Voyager 1,Explorer 1,B,Technology
In which sport can you achieve a perfect game by scoring 300 points?,Bowling,Darts,Golf,Tennis,A,Sports
Which calendar is most widely used in the world today?,Julian Calendar,Islamic Calendar,Chinese Calendar,Gregorian Calendar,D,General Knowledge
The Roman Empire officially fell in which year?,296 AD,476 AD,800 AD,1453 AD,B,History
What is the largest island in the world?,Madagascar,Borneo,Greenland,New Guinea,C,Geography
What part of the human brain is responsible for processing visual information?,Frontal lobe,Temporal lobe,Occipital lobe,Parietal lobe,C,Science
Which classical composer became deaf later in life?,Wolfgang Amadeus Mozart,Ludwig van Beethoven,Johann Sebastian Bach,Antonio Vivaldi,B,Music
What is the national flower of Japan?,Lotus,Orchid,Cherry Blossom,Sunflower,C,General Knowledge
What was the first search engine on the internet?,Google,Yahoo,AltaVista,Archie,D,Technology
Which country has won the most FIFA World Cup titles?,Germany,Brazil,Argentina,England,B,Sports
"Which fruit contains the enzyme bromelain, which can break down proteins?",Pineapple,Mango,Papaya,Kiwi,A,Food & Drinks
Which of these flags does NOT feature the color red?,Japan,Argentina,Canada,Switzerland,B,General Knowledge
What is the longest river in Europe?,Danube,Rhine,Seine,Volga,D,Geography
What is the term for the amount of matter in an object?,Volume,Weight,Density,Mass,D,Science
Which famous festival took place in 1969 and became a symbol of counterculture?,Glastonbury,Coachella,Woodstock,Lollapalooza,C,Music
Which board game features two players competing in a battle of wits on a 64-square board?,Checkers,Chess,Go,Backgammon,B,General Knowledge
What does “RAM” stand for in computer hardware?,Random Access Memory,Read-Only Memory,Rapid Application Module,Remote Access Management,A,Technology
In which year did World War I end?,1918,1920,1919,1932,C,History
"Which city is known as ""The Eternal City""?",Athens,Jerusalem,Rome,Istanbul,C,General Knowledge
What was the name of the first graphical web browser?,Netscape Navigator,Mosaic,Internet Explorer,Opera,B,Technology
Which natural phenomenon is measured using the Richter scale?,Tornadoes,Earthquakes,Hurricanes,Tsunamis,B,General Knowledge
"Which country is home to the world’s highest waterfall, Angel Falls?",Brazil,Peru,Colombia,Venezuela,D,Geography
